[0/0] en-ewt (retroprobe)...
Path 'exp/run/retroprobe/en-ewt-rs41' does not exist. Creating...
Loaded data splits train: 28648, dev: 2419, test: 2175 with filter <UniversalDependenciesIndexFilter: 31067 indices>.
Loaded <UniversalDependenciesTreebank (all.conllu): 7664 sentences>.
Loaded <UniversalDependenciesTreebank (ar_padt-ud-dev.conllu): 909 sentences>.
Loaded <UniversalDependenciesTreebank (ar_padt-ud-test.conllu): 680 sentences>.
Loaded <UniversalDependenciesTreebank (ar_padt-ud-train.conllu): 6075 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 8993 sentences>.
Loaded <UniversalDependenciesTreebank (eu_bdt-ud-dev.conllu): 1798 sentences>.
Loaded <UniversalDependenciesTreebank (eu_bdt-ud-test.conllu): 1799 sentences>.
Loaded <UniversalDependenciesTreebank (eu_bdt-ud-train.conllu): 5396 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 4997 sentences>.
Loaded <UniversalDependenciesTreebank (zh_gsd-ud-dev.conllu): 500 sentences>.
Loaded <UniversalDependenciesTreebank (zh_gsd-ud-test.conllu): 500 sentences>.
Loaded <UniversalDependenciesTreebank (zh_gsd-ud-train.conllu): 3997 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 16621 sentences>.
Loaded <UniversalDependenciesTreebank (en_ewt-ud-dev.conllu): 2001 sentences>.
Loaded <UniversalDependenciesTreebank (en_ewt-ud-test.conllu): 2077 sentences>.
Loaded <UniversalDependenciesTreebank (en_ewt-ud-train.conllu): 12543 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 15136 sentences>.
Loaded <UniversalDependenciesTreebank (fi_tdt-ud-dev.conllu): 1364 sentences>.
Loaded <UniversalDependenciesTreebank (fi_tdt-ud-test.conllu): 1555 sentences>.
Loaded <UniversalDependenciesTreebank (fi_tdt-ud-train.conllu): 12217 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 6216 sentences>.
Loaded <UniversalDependenciesTreebank (he_htb-ud-dev.conllu): 484 sentences>.
Loaded <UniversalDependenciesTreebank (he_htb-ud-test.conllu): 491 sentences>.
Loaded <UniversalDependenciesTreebank (he_htb-ud-train.conllu): 5241 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 16647 sentences>.
Loaded <UniversalDependenciesTreebank (hi_hdtb-ud-dev.conllu): 1659 sentences>.
Loaded <UniversalDependenciesTreebank (hi_hdtb-ud-test.conllu): 1684 sentences>.
Loaded <UniversalDependenciesTreebank (hi_hdtb-ud-train.conllu): 13304 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 14167 sentences>.
Loaded <UniversalDependenciesTreebank (it_isdt-ud-dev.conllu): 564 sentences>.
Loaded <UniversalDependenciesTreebank (it_isdt-ud-test.conllu): 482 sentences>.
Loaded <UniversalDependenciesTreebank (it_isdt-ud-train.conllu): 13121 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 8100 sentences>.
Loaded <UniversalDependenciesTreebank (ja_gsd-ud-dev.conllu): 507 sentences>.
Loaded <UniversalDependenciesTreebank (ja_gsd-ud-test.conllu): 543 sentences>.
Loaded <UniversalDependenciesTreebank (ja_gsd-ud-train.conllu): 7050 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 6339 sentences>.
Loaded <UniversalDependenciesTreebank (ko_gsd-ud-dev.conllu): 950 sentences>.
Loaded <UniversalDependenciesTreebank (ko_gsd-ud-test.conllu): 989 sentences>.
Loaded <UniversalDependenciesTreebank (ko_gsd-ud-train.conllu): 4400 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 61889 sentences>.
Loaded <UniversalDependenciesTreebank (ru_syntagrus-ud-dev.conllu): 6584 sentences>.
Loaded <UniversalDependenciesTreebank (ru_syntagrus-ud-test.conllu): 6491 sentences>.
Loaded <UniversalDependenciesTreebank (ru_syntagrus-ud-train.conllu): 48814 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 6026 sentences>.
Loaded <UniversalDependenciesTreebank (sv_talbanken-ud-dev.conllu): 504 sentences>.
Loaded <UniversalDependenciesTreebank (sv_talbanken-ud-test.conllu): 1219 sentences>.
Loaded <UniversalDependenciesTreebank (sv_talbanken-ud-train.conllu): 4303 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 5635 sentences>.
Loaded <UniversalDependenciesTreebank (tr_imst-ud-dev.conllu): 988 sentences>.
Loaded <UniversalDependenciesTreebank (tr_imst-ud-test.conllu): 983 sentences>.
Loaded <UniversalDependenciesTreebank (tr_imst-ud-train.conllu): 3664 sentences>.
Loaded <UniversalDependencies: 52 treebanks, 356860 sentences> with 37 dependency relations.
Loaded training split with 28648 sentences.
Loaded dev split with 2419 sentences.
Some weights of the model checkpoint at bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Constructed 'retroprobe' model:
RetroProbe:
  <BertModel: "bert-base-multilingual-cased", Layers [6, 7]>
  <RootedGraphPredictor: 768 -> 128>
  <DependencyLabelClassifier: 1536 -> 37>
Moved parser to CUDA device ('cuda').
Using RootedDependencyLoss with DependencyDistanceLoss and CrossEntropyLoss.
Optimizing using AdamW with learning rate 0.001.
Scheduler ReduceLROnPlateau reduces learning rate by 0.1 after 1 epoch without improvement.
Ignored unknown kwarg option direction
[Train | Batch 1 | 0.11%] Acc: no-decode, Loss: 23.72 + 13.21 = 36.9327Ignored unknown kwarg option direction
[Train | Batch 2 | 0.22%] Acc: no-decode, Loss: 21.63 + 12.19 = 33.8207Ignored unknown kwarg option direction
[Train | Batch 3 | 0.34%] Acc: no-decode, Loss: 20.22 + 11.25 = 31.4684Ignored unknown kwarg option direction
[Train | Batch 4 | 0.45%] Acc: no-decode, Loss: 18.79 + 10.44 = 29.2220Ignored unknown kwarg option direction
[Train | Batch 5 | 0.56%] Acc: no-decode, Loss: 17.88 + 9.48 = 27.3581Ignored unknown kwarg option direction
[Train | Batch 6 | 0.67%] Acc: no-decode, Loss: 17.05 + 8.89 = 25.9429Ignored unknown kwarg option direction
[Train | Batch 7 | 0.78%] Acc: no-decode, Loss: 16.08 + 8.53 = 24.6088Ignored unknown kwarg option direction
[Train | Batch 8 | 0.89%] Acc: no-decode, Loss: 15.45 + 8.11 = 23.5649Ignored unknown kwarg option direction
[Train | Batch 9 | 1.01%] Acc: no-decode, Loss: 14.79 + 7.61 = 22.3940Ignored unknown kwarg option direction
[Train | Batch 10 | 1.12%] Acc: no-decode, Loss: 14.21 + 7.21 = 21.4230Ignored unknown kwarg option direction
[Train | Batch 11 | 1.23%] Acc: no-decode, Loss: 13.69 + 6.96 = 20.6463Ignored unknown kwarg option direction
[Train | Batch 12 | 1.34%] Acc: no-decode, Loss: 13.26 + 6.68 = 19.9394Ignored unknown kwarg option direction
[Train | Batch 13 | 1.45%] Acc: no-decode, Loss: 12.78 + 6.41 = 19.1966Ignored unknown kwarg option direction
[Train | Batch 14 | 1.56%] Acc: no-decode, Loss: 12.37 + 6.13 = 18.4996Ignored unknown kwarg option direction
[Train | Batch 15 | 1.68%] Acc: no-decode, Loss: 11.93 + 5.88 = 17.8101Ignored unknown kwarg option direction
[Train | Batch 16 | 1.79%] Acc: no-decode, Loss: 11.55 + 5.69 = 17.2409Ignored unknown kwarg option direction
[Train | Batch 17 | 1.90%] Acc: no-decode, Loss: 11.16 + 5.45 = 16.6074Ignored unknown kwarg option direction
[Train | Batch 18 | 2.01%] Acc: no-decode, Loss: 10.82 + 5.30 = 16.1195Ignored unknown kwarg option direction
[Train | Batch 19 | 2.12%] Acc: no-decode, Loss: 10.50 + 5.14 = 15.6399Ignored unknown kwarg option direction
[Train | Batch 20 | 2.23%] Acc: no-decode, Loss: 10.19 + 4.97 = 15.1637Ignored unknown kwarg option direction
[Train | Batch 21 | 2.35%] Acc: no-decode, Loss: 9.88 + 4.88 = 14.7553Ignored unknown kwarg option direction
[Train | Batch 22 | 2.46%] Acc: no-decode, Loss: 9.58 + 4.77 = 14.3462Ignored unknown kwarg option direction
[Train | Batch 23 | 2.57%] Acc: no-decode, Loss: 9.32 + 4.64 = 13.9566Ignored unknown kwarg option direction
[Train | Batch 24 | 2.68%] Acc: no-decode, Loss: 9.08 + 4.52 = 13.5943Ignored unknown kwarg option direction
[Train | Batch 25 | 2.79%] Acc: no-decode, Loss: 8.83 + 4.40 = 13.2275Ignored unknown kwarg option direction
[Train | Batch 26 | 2.90%] Acc: no-decode, Loss: 8.59 + 4.29 = 12.8794Ignored unknown kwarg option direction
[Train | Batch 27 | 3.02%] Acc: no-decode, Loss: 8.37 + 4.19 = 12.5565Ignored unknown kwarg option direction
[Train | Batch 28 | 3.13%] Acc: no-decode, Loss: 8.17 + 4.09 = 12.2584Ignored unknown kwarg option direction
[Train | Batch 29 | 3.24%] Acc: no-decode, Loss: 7.97 + 4.00 = 11.9750Ignored unknown kwarg option direction
[Train | Batch 30 | 3.35%] Acc: no-decode, Loss: 7.78 + 3.94 = 11.7208Ignored unknown kwarg option direction
[Train | Batch 31 | 3.46%] Acc: no-decode, Loss: 7.60 + 3.87 = 11.4681Ignored unknown kwarg option direction
[Train | Batch 32 | 3.57%] Acc: no-decode, Loss: 7.43 + 3.79 = 11.2159Ignored unknown kwarg option direction
[Train | Batch 33 | 3.69%] Acc: no-decode, Loss: 7.26 + 3.72 = 10.9826Ignored unknown kwarg option direction
[Train | Batch 34 | 3.80%] Acc: no-decode, Loss: 7.10 + 3.67 = 10.7682Ignored unknown kwarg option direction
[Train | Batch 35 | 3.91%] Acc: no-decode, Loss: 6.94 + 3.64 = 10.5785Ignored unknown kwarg option direction
[Train | Batch 36 | 4.02%] Acc: no-decode, Loss: 6.79 + 3.57 = 10.3621Ignored unknown kwarg option direction
[Train | Batch 37 | 4.13%] Acc: no-decode, Loss: 6.65 + 3.51 = 10.1650Ignored unknown kwarg option direction
[Train | Batch 38 | 4.24%] Acc: no-decode, Loss: 6.51 + 3.45 = 9.9649Ignored unknown kwarg option direction
[Train | Batch 39 | 4.36%] Acc: no-decode, Loss: 6.38 + 3.40 = 9.7842Ignored unknown kwarg option direction
[Train | Batch 40 | 4.47%] Acc: no-decode, Loss: 6.26 + 3.37 = 9.6267Ignored unknown kwarg option direction
[Train | Batch 41 | 4.58%] Acc: no-decode, Loss: 6.14 + 3.32 = 9.4606Ignored unknown kwarg option direction
[Train | Batch 42 | 4.69%] Acc: no-decode, Loss: 6.02 + 3.26 = 9.2866Ignored unknown kwarg option direction
[Train | Batch 43 | 4.80%] Acc: no-decode, Loss: 5.91 + 3.22 = 9.1363Ignored unknown kwarg option direction
[Train | Batch 44 | 4.91%] Acc: no-decode, Loss: 5.80 + 3.18 = 8.9826Ignored unknown kwarg option direction
[Train | Batch 45 | 5.03%] Acc: no-decode, Loss: 5.70 + 3.14 = 8.8366Ignored unknown kwarg option direction
[Train | Batch 46 | 5.14%] Acc: no-decode, Loss: 5.59 + 3.10 = 8.6930Ignored unknown kwarg option direction
[Train | Batch 47 | 5.25%] Acc: no-decode, Loss: 5.50 + 3.06 = 8.5553Ignored unknown kwarg option direction
[Train | Batch 48 | 5.36%] Acc: no-decode, Loss: 5.41 + 3.02 = 8.4267Ignored unknown kwarg option direction
[Train | Batch 49 | 5.47%] Acc: no-decode, Loss: 5.32 + 2.99 = 8.3037Ignored unknown kwarg option direction
